Disease Name,Symptoms,Diagnosis,Treatments
"Saddle Nose","Nasal pain or discomfort.; Nosebleeds (epistaxis).; Chronic crusting around your nose.; Turned-up nasal tip.; Breathing issues.; Horizontal crease on the lower portion of your nose.; Nasal septum perforation (when there’s a hole in the cartilage that separates your nostrils).","Minimal saddle nose: There’s a small depression in your dorsum (the bridge of your nose).; Moderate saddle nose: There’s a larger depression in your dorsum and your nose looks flattened from all angles. The tip of your nose may turn upward.; Major saddle nose: There’s an obvious lack of bony support and cartilage, causing your dorsum to sink in. The tip of your nose turns upward.","Surgery is the most common treatment for saddle nose deformity. However, some mild cases may respond to dermal filler injections."
"B-cell Lymphoma","Fever.; Drenching night sweats.; Unintentional loss of more than 10% of body weight over 6 months.; Painless swelling in one or more lymph node(s).; Persistent fatigue.; Loss of appetite.; Cough or chest pain.; Stomach pain.; A sensation of bloating or fullness caused by an enlarged spleen.; Itchy skin.; Enlargement of the spleen or liver.; Rashes or skin lumps.","Complete blood count (CBC). A CBC measures and counts your blood cells. Providers use CBC to detect a variety of illnesses.; Blood chemistry test. This test measures the number of certain substances in your blood.; Computed tomography (CT) scan. CT scans use a series of X-rays and a computer to create three-dimensional images of your soft tissues and bones.; Positron emissions tomography (PET) scan. Providers inject a radioactive tracer into your body to detect early signs of cancer.; Magnetic resonance imaging (MRI). This is a painless test that uses a large magnet, radio waves and a computer to produce very clear images of organs and structures within your body.; Lumbar puncture (spinal tap). To do this test, your healthcare provider inserts a needle into your lower back to get a sample of cerebrospinal fluid, the clear liquid that surrounds your spine and brain.; Bone marrow biopsy. To do this test, providers insert a special needle through your skin and into your pelvic bone or breastbone so they can remove a small sample of bone marrow from inside it.","Chemotherapy. Healthcare providers use several types of drugs to kill cancer cells.; Radiation therapy. Healthcare providers use strong beams of energy (radiation) to kill cancer cells or stop them from growing.; Targeted therapy. This treatment involves medications that target specific changes in cancer cells.; Immunotherapy. This cancer treatment uses your immune system to fight cancer by helping your body produce cancer-fighting cells or help healthy cells identify and attack cancer cells.; Stem cell transplantation. A stem cell transplant replaces unhealthy stem cells with healthy stem cells."
"Hepatitis B","Fever.; Loss of appetite.; Nausea and vomiting.; Abdominal pain.; Weakness and fatigue.; Joint pain.","If you have an acute or chronic infection.; If you’ve been infected in the past.; If you’ve developed immunity to the virus.; If the infection is interfering with your liver function.","Vaccination. Healthcare providers recommend an immediate dose of the hepatitis B vaccine if you haven’t had it yet, preferably within 24 hours of exposure. You’ll need two more doses over the next six months to become fully vaccinated against the virus.; Hepatitis B immune globulin (HBIG). HBIG is a substance made from human blood containing naturally-produced antibodies to the hepatitis B virus. It’s given as a shot to help prevent infection in people who’ve recently been exposed to the virus."
"Hemophilia B","Everyone receives two X chromosomes from their biological mother and one X chromosome and one Y chromosome from their biological father.; If a woman or person DFAB has an abnormal F9 gene on one of their X chromosomes, they carry hemophilia B, but they won’t have symptoms. That’s because there’s a normal F9 gene on their second X chromosome.; This person can pass the chromosome carrying the abnormal F9 gene on to their biological male child. As men and people DMAB have just the one chromosome, they’ll develop hemophilia B.","Complete blood count (CBT): Providers use this test to measure and study blood cells.; Prothrombin time (PT) test: Providers use this test to see how quickly your blood clots.; Activated partial thromboplastin time test: This is another blood test to see how long it takes your blood to form a clot.; Fibrinogen test: This is a blood test to measure the amount of blood protein fibrinogen, which helps with clotting.; Clotting factor test: This blood test shows the hemophilia type and severity.","Healthcare providers typically treat hemophilia B with factor replacement therapy. In factor replacement therapy, providers inject concentrated factor 9 into people’s bloodstreams. The concentrated factor 9 takes the place of the missing factor and helps prevent excessive bleeding or control bleeding when it happens."
"Cutaneous B-Cell Lymphoma","Fever.; Night sweats.; Swollen lymph nodes in your neck, armpits or groin.; Weight loss.","Blood tests.; Imaging tests such as CT scan or PET scan.; Bone marrow biopsy.; Biopsy of the lymph nodes.","Active surveillance, or “watch and wait,” which involves monitoring the condition until treatment is necessary.; Chemotherapy.; Medications rubbed on your skin (topical) or injected, such as corticosteroids.; Monoclonal antibodies such as rituximab.; Radiation therapy.; Surgical removal."
"Group B Strep Pregnancy","Fever, chills and fatigue.; Difficulty breathing.; Chest pains.; Muscle stiffness.","Yes, your healthcare provider will test you for GBS late in your pregnancy, around weeks 36 to 37.","Healthcare providers prevent GBS infection in your baby by treating you with intravenous (IV) antibiotics during labor and delivery. The most common antibiotic to treat group B strep is penicillin or ampicillin. Giving you an antibiotic at this time helps prevent the spread of GBS from you to your newborn. It's not effective to treat GBS earlier than at delivery. The antibiotics work best when given at least four hours before delivery. About 90% of infections are prevented with this type of treatment."
"C. diff (Clostridioides difficile) Infection","Persistent abdominal pain.; Swollen, distended abdomen.; Nausea and vomiting.; Loss of appetite.; Fever.; Rapid heart rate.","If your healthcare provider suspects C. diff infection based on your symptoms, they’ll take a sample of your poop and send it to a lab. The lab will test it for evidence of the toxins C. diff produces.","Metronidazole.; Vancomycin.; Fidaxomicin."
"Hemophilia C","Nosebleeds.; Bruising easily.; Blood in pee.; Excessive bleeding after circumcision.; Painful, swollen bruises after surgery.; Unusually heavy or long-lasting periods.","Activated partial thromboplastin time test: This hemophilia screening test tells your healthcare provider how long it takes your blood to clot.; Clotting factor test: This blood test shows the hemophilia type and severity.","People with hemophilia C may not need treatment unless they’re going to have surgery or other procedures. When they do, healthcare providers use a combination of fresh frozen plasma from donated blood and medication that keeps replacement clotting factors from breaking down. They may prescribe birth control pills for women who have unusually heavy or long-lasting periods."
"Protein C Deficiency","Blood clots in your veins (also called venous thromboembolism). Blood clots usually form in your legs (deep vein thrombosis) but can also form in the veins of the large and small intestines, your brain, the main vein to your liver and in other areas. You may not have symptoms until adulthood or may not have symptoms at all. Blood clots are more likely to develop with increasing age.","Personal history of having blood clots.; Family history of having blood clots.; Blood tests that determine the level of protein C activity and the level of protein C itself.; Genetic testing to detect mutation in PROC gene (but not needed to confirm diagnosis).","No treatment: Most people don’t need treatment except during surgery or if they are pregnant, have experienced trauma (such as a car accident) or are physically inactive.; Treatment with an anticoagulant: If you have had a blood-clotting (thrombotic) event."
"Hepatitis C","Exposure to needles or sharp objects at work, especially in healthcare.; Tattoos or body piercings performed with unsterilized equipment.; Sharing a razor or toothbrush with somebody who might have bled using it.; Less commonly, through sexual contact that leads to blood exposure.","Liver function tests. Liver function tests are a series of blood tests that evaluate the health of your liver.; Elastography. An elastography is a noninvasive imaging test that measures the stiffness or fibrosis of your liver tissue. It uses ultrasound or MRI.; Liver biopsy. As a last resort, when other tests aren’t conclusive, your healthcare provider may take a sample of tissue from your liver to test in the lab. They can usually do this through a hollow needle inserted through your abdominal wall in a simple bedside procedure.","Sofosbuvir (Sovaldi®).; Ledipasvir/sofosbuvir (Harvoni®).; Simeprevir (Olysio®).; Paritaprevir/ombitasvir/ritonavir/dasabuvir (Viekira Pak®).; Daclatasvir (Daklinza®).; Elbasvir/grazoprevir (Zepatier®).; Sofosbuvir/velpatasvir (Epclusa®).; Glecaprevir/pibrentasvir (Mavyret®).; Sofosbuvir/velpatasvir/voxilaprevir (Vosevi®).; Ombitasvir/paritaprevir/ritonavir (Technivie®).; Ribavirin (RibaPak®).; Peginterferon alfa-2a/2b (Pegasys®/PEG-Intron®)."
"Multisystem Inflammatory Syndrome in Children (MIS-C)","Stomach or abdominal pain.; Vomiting.; Diarrhea.; Lightheadedness or feeling dizzy.; A skin rash.; Bloodshot or red eyes.; Loss of appetite.","Echocardiogram.; Chest X-ray.; Abdominal ultrasound.; Computed tomography (CT) scan.","Receiving fluids from an IV (a needle placed into a vein in your child’s arm).; Taking medications (oral or IV) to reduce inflammation (corticosteroids, immune globulin IVIG and glucocorticoids).; Antiviral therapy (remdesivir) to treat COVID-19 if your child has an active infection.; Receiving oxygen from an assisted breathing device (ventilator)."
