Disease Name,Symptoms,Diagnosis,Treatments
"C. diff (Clostridioides difficile) Infection","Persistent abdominal pain.
Swollen, distended abdomen.
Nausea and vomiting.
Loss of appetite.
Fever.
Rapid heart rate.","If your healthcare provider suspects C. diff infection based on your symptoms, they’ll take a sample of your poop and send it to a lab. The lab will test it for evidence of the toxins C. diff produces.","Metronidazole.
Vancomycin.
Fidaxomicin."
"Hemophilia C","Nosebleeds.
Bruising easily.
Blood in pee.
Excessive bleeding after circumcision.
Painful, swollen bruises after surgery.
Unusually heavy or long-lasting periods.","Healthcare providers diagnose hemophilia C by doing a physical examination, evaluating symptoms like bloody noses or bleeding after dental treatment, and asking about any biological family history of hemophilia or blood disorders.","People with hemophilia C may not need treatment unless they’re going to have surgery or other procedures. When they do, healthcare providers use a combination of fresh frozen plasma from donated blood and medication that keeps replacement clotting factors from breaking down. They may prescribe birth control pills for women who have unusually heavy or long-lasting periods."
"Protein C Deficiency","Blood clots in your veins (also called venous thromboembolism). Blood clots usually form in your legs (deep vein thrombosis) but can also form in the veins of the large and small intestines, your brain, the main vein to your liver and in other areas. You may not have symptoms until adulthood or may not have symptoms at all. Blood clots are more likely to develop with increasing age.","Personal history of having blood clots.
Family history of having blood clots.
Blood tests that determine the level of protein C activity and the level of protein C itself.
Genetic testing to detect mutation in PROC gene (but not needed to confirm diagnosis).","No treatment: Most people don’t need treatment except during surgery or if they are pregnant, have experienced trauma (such as a car accident) or are physically inactive.
Treatment with an anticoagulant: If you have had a blood-clotting (thrombotic) event."
"Hepatitis C","Exposure to needles or sharp objects at work, especially in healthcare.
Tattoos or body piercings performed with unsterilized equipment.
Sharing a razor or toothbrush with somebody who might have bled using it.
Less commonly, through sexual contact that leads to blood exposure.","Liver function tests. Liver function tests are a series of blood tests that evaluate the health of your liver.
Elastography. An elastography is a noninvasive imaging test that measures the stiffness or fibrosis of your liver tissue. It uses ultrasound or MRI.
Liver biopsy. As a last resort, when other tests aren’t conclusive, your healthcare provider may take a sample of tissue from your liver to test in the lab. They can usually do this through a hollow needle inserted through your abdominal wall in a simple bedside procedure.","Sofosbuvir (Sovaldi®).
Ledipasvir/sofosbuvir (Harvoni®).
Simeprevir (Olysio®).
Paritaprevir/ombitasvir/ritonavir/dasabuvir (Viekira Pak®).
Daclatasvir (Daklinza®).
Elbasvir/grazoprevir (Zepatier®).
Sofosbuvir/velpatasvir (Epclusa®).
Glecaprevir/pibrentasvir (Mavyret®).
Sofosbuvir/velpatasvir/voxilaprevir (Vosevi®).
Ombitasvir/paritaprevir/ritonavir (Technivie®).
Ribavirin (RibaPak®).
Peginterferon alfa-2a/2b (Pegasys®/PEG-Intron®)."
"Multisystem Inflammatory Syndrome in Children (MIS-C)","Stomach or abdominal pain.
Vomiting.
Diarrhea.
Lightheadedness or feeling dizzy.
A skin rash.
Bloodshot or red eyes.
Loss of appetite.","Echocardiogram.
Chest X-ray.
Abdominal ultrasound.
Computed tomography (CT) scan.","Receiving fluids from an IV (a needle placed into a vein in your child’s arm).
Taking medications (oral or IV) to reduce inflammation (corticosteroids, immune globulin IVIG and glucocorticoids).
Antiviral therapy (remdesivir) to treat COVID-19 if your child has an active infection.
Receiving oxygen from an assisted breathing device (ventilator)."
"Vitamin D Toxicity (Hypervitaminosis D)","Decrease in appetite.
Nausea and vomiting.
Constipation.
Dehydration.
Increased thirst (polydipsia).
Frequent urination.
Confusion, lethargy and fatigue.
Muscle weakness and difficulty walking.
Bone pain.
Kidney stones.","Your symptoms.
A history of your medications and supplements.
Vitamin D blood tests.
A calcium blood test.
Kidney function tests.","Have you stop taking all vitamin D and calcium supplements until further notice.
Give you IV fluids to treat dehydration.
Give you corticosteroids and bisphosphonates (medications) in cases of severe toxicity to block bone resorption."
"Vitamin D Deficiency","Incorrect growth patterns due to bowed or bent bones.
Muscle weakness.
Bone pain.
Deformities in joints.","Healthcare providers don’t usually order routine checks of vitamin D levels, but they might need to check your levels if you have certain medical conditions or risk factors for vitamin D deficiency and/or have symptoms of it.","The goals of treatment and prevention for vitamin D deficiency are the same: to reach and then maintain an adequate vitamin D level in your body."
"Dysphoric Milk Ejection Reflex (D-MER)","Sadness or hopelessness.
Self-hate or low self-esteem.
Sinking feeling in their stomach or feelings of dread.
Anger, sadness or agitation.
Anxiety or irritability.","There isn’t a ton of research about D-MER, so there isn’t an official way to diagnose it. Your healthcare provider will talk to you about your symptoms, when you feel them and how intense they are. Remember, D-MER only occurs during feedings or pumping sessions and goes away shortly after. Describing your symptoms and when they happen can help your provider understand what’s happening.","Increase skin-to-skin contact: If you’re breastfeeding, try bringing your baby closer to your body. This feeling can lower your cortisol levels and decrease your heart rate, almost like a calming effect.
Practice meditation or deep breathing: Trying to relax is key. This lowers anxiety and reduces stress. Take deep breaths in through your nose and out through your mouth.
Find other ways to relax: Getting a massage, listening to music or soaking in a warm tub just before feedings can help relax you and calm you down.
Distract yourself: Eat, watch TV or do other activities during the milk let down as a distraction.
Find support: Seek support for D-MER. Whether it’s your partner, a friend or an online support group, find people who’ll listen to you, talk to you and care for you."
"Viral Hepatitis","Having sex with an infected person.
Sharing dirty needles.
Being in direct contact with infected blood.
Getting needle stick injuries.
Being transferred from a pregnant person to a fetus.
Being in contact with an infected person's body fluids.","Your healthcare provider will ask about your symptoms and do a physical exam. There are blood tests that will find out if you have a form of hepatitis caused by a virus.","Entecavir (Baraclude®).
Telbivudine (Tyzeka®).
Tenofovir alafenamide (Vemlidy®).
Tenofovir disoproxil fumarate (Viread®).
Interferon alfa-2b (Intron A®).
Peginterferon alfa-2a (Pegasys®)."
"Transposition of the Great Arteries","Had gestational diabetes.
Had rubella (German measles).
Were exposed to certain pesticides or herbicides.
Took certain antiepileptic medications.","Echocardiogram.
Electrocardiogram (EKG).
Newborn pulse oximetry screening to measure oxygen levels (often part of newborn care).
Chest X-ray.
Cardiac catheterization, a more invasive test your provider can use if other tests don’t offer an answer.","Prostaglandin: This medication can keep the ductus arteriosus open, allowing oxygen-rich blood to flow through the body.
Catheterization: A balloon atrial septostomy uses a catheter (thin tube) to widen the natural opening between the atria (right and left upper chambers in the heart). This minimally invasive procedure allows blood to mix so it can collect oxygen and deliver it to the body."
"E. coli Infection","Stomach pains and cramps.
Diarrhea that may range from watery to bloody.
Fatigue.
Loss of appetite or nausea.
Vomiting.
Low fever < 101 °F/ 38.5 °C (not all people have this symptom).","First, wash your hands with soap and water.
If it’s possible to urinate (pee) before setting up for the stool collection, do so. You don’t want to get urine in your stool sample if you can help it.
To collect diarrhea, tape a plastic bag to the toilet seat. You only need to collect a small amount – a couple tablespoons.
Place the plastic bag into a clean (washed and dried) plastic container and seal with lid.
Wash your hands with soap and water.
Write your name and date on the container, place within another bag, wash your hands again and deliver to your healthcare provider on the same day you collect your sample. If you can’t deliver your sample immediately, you can store it in your refrigerator for up to 24 hours.
Do not collect the sample from the toilet bowl. Do not mix in toilet paper, soap or water.","You can’t keep any fluids down.
You have blood in your poop.
You are feeling very tired.
You have many bouts of vomiting.
You have a fever higher than 102 °F.
You are not peeing (urinating) a lot.
You are losing pink color in cheeks and inside your lower eyelids."
"Acute Cystitis","Feeling like you need to pee frequently, even right after you’ve recently peed.
A burning sensation or pain while peeing.
Smelly pee.
Cloudy pee.
Blood in your pee (hematuria).
Urinary incontinence.
Pain in your penis.
Pain during sex.
Cramping in your lower back or the lower part of your abdomen.
Fatigue.
Mild fever.","Urinalysis. A urinalysis (urine test) examines the visual, chemical and microscopic aspects of your pee. Your healthcare provider will examine your pee sample for red blood cells, white blood cells and bacteria. The presence of these can indicate an infection.
Urine culture. A urine culture helps your healthcare provider identify what bacteria are responsible for your acute cystitis. It helps them identify the most effective antibiotic to treat your infection.","Nitrofurantoin (Macrobid®).
Sulfamethoxazole - trimethoprim (Bactrim®).
Fosfomycin (Monurol®).
Pivmecillinam (Selexid®)."
"Hemolytic Uremic Syndrome","Diarrhea, usually bloody.
Fever.
Abdominal pain.
Vomiting.
Fatigue.
Easy bruising.
Pale skin or the linings of your nose and mouth (mucous membranes) are pale.
Confusion.
Seizures.
Stroke.","Urine test. You’ll pee into a special container. Then, a healthcare provider will place a strip of paper coated with special chemicals (dipstick) into the container. The dipstick will change color if there is protein or blood in your pee.
Blood test. Your healthcare provider will use a small needle to draw a blood sample from a vein in your arm.
Genetic testing. Your provider may send part of your blood sample to a lab for genetic testing. Genetic testing determines whether you have higher odds of developing HUS according to your genes (genetic tendency). This helps determine how long you may need therapies such as eculizumab or ravulizumab. If you have a genetic abnormality, you have a higher chance of requiring long-term therapy with eculizumab or ravulizumab.
Stool test. Your healthcare provider will give you a special container and a disposable spoon. The next time you have to poop, you’ll place plastic wrap or newspaper across the rim of your toilet to collect your poop. You can also poop into a different container. You’ll then use the disposable spoon to collect a small sample, put it in the special container and return it to your healthcare provider.
Kidney biopsy. Your healthcare will provide a small piece of your kidney tissue to examine at a lab under a microscope. Your healthcare provider will first numb the area with a local anesthetic so you won’t feel any pain. They’ll also give you a light sedative to help you relax. Then, they’ll insert a needle through your skin and into your kidney to collect the tissue sample. Kidney biopsies are rarely necessary for adults. Children don’t need kidney biopsies.","Hemolytic uremic syndrome treatment may include blood transfusions, especially red blood cells and platelets. Red blood cells help with signs and symptoms of anemia, including chills, fatigue, shortness of breath and rapid heart rate. Platelets help your blood clot, especially if you’re bleeding or bruising easily."
"Nicotine Poisoning","Nausea and vomiting. Vomiting occurs in more than 50% of people with symptoms.
Increased salivation.
Abdominal pain.
Pale skin color.
Sweating.
Increased blood pressure.
Increased heart rate.
Rapid, heavy breathing (hyperpnea).
Loss of full control of body movements (ataxia), loss of balance, difficulty walking.
Tremors.
Headache, dizziness.
Muscle twitching.
Seizures.","Increased levels of nicotine or cotinine (nicotine metabolite) can be detected in urine or blood.","Benzodiazepines to control seizures.
Intravenous fluids (IV) fluids to treat low blood pressure.
Atropine to treat slow heart rate.
Ventilator to help deliver oxygen if there’s respiratory failure.
Other treatments specific to other symptoms or bodily damage of the individual."
"Viral Hepatitis","Having sex with an infected person.
Sharing dirty needles.
Being in direct contact with infected blood.
Getting needle stick injuries.
Being transferred from a pregnant person to a fetus.
Being in contact with an infected person's body fluids.","Your healthcare provider will ask about your symptoms and do a physical exam. There are blood tests that will find out if you have a form of hepatitis caused by a virus.","Entecavir (Baraclude®).
Telbivudine (Tyzeka®).
Tenofovir alafenamide (Vemlidy®).
Tenofovir disoproxil fumarate (Viread®).
Interferon alfa-2b (Intron A®).
Peginterferon alfa-2a (Pegasys®)."
"Tularemia","Fever.
Very large, swollen and painful lymph nodes.
Open wound (ulcer or lesion) on your skin (ulceroglandular tularemia only).","Blood tests. A sample of blood taken from your arm will be sent to a lab. The lab will look for signs of tularemia and might see if F. tularensis grows from it. At first, your blood test may look normal because F. tularensis can be slow-growing. You may have to repeat blood tests a few weeks later.
Biopsy. If you have large lymph nodes or ulcers, your provider may take a sample of your tissue for biopsy. A lab will test the sample for F. tularensis or see if it grows from the sample.
Nasal or throat swab. Your provider may use a long stick with a soft tip (swab) to get a sample of mucus from your nose or throat. A lab will test the sample for F. tularensis or see if it grows from the sample.
Pleural fluid test (thoracentesis). If you have fluid around your lungs, a provider may take a sample of it during a thoracentesis. A lab will test the sample for F. tularensis or see if it grows from the sample.","Treatment of tularemia involves broad-spectrum antibiotics, either given to you by a healthcare provider with a needle (injection) or taken by mouth (pill). You may need other treatments if you have serious complications."
"Hypothermia","Shivering and chattering teeth.
Exhaustion.
Clumsiness, slow movements and reactions.
Sleepiness.
Weak pulse.
Fast heart rate (tachycardia).
Rapid breathing (tachypnea).
Pale skin color.
Confusion and poor judgment/loss of awareness.
Excessive urination.
Trouble speaking.","Healthcare providers diagnose hypothermia by taking your temperature and checking your symptoms. Based on your symptoms and how low your body temperature is below 95 F (35 C), they’ll diagnose you with mild, moderate or severe hypothermia.","Move the person to a warm, dry location.
Remove wet clothing and replace with dry clothing.
Cover them up with a jacket, hat and blanket.
Apply external heat to their skin, such as with a heat lamp or hot pack."
"Adult-Onset Still's Disease","Sore throat.
Swollen lymph glands in the neck.
Fatigue.
Headache.
Abdominal pain.
Weight loss.","No single test can identify AOSD. Because of this, tests might be done that exclude other diseases, especially infection and cancer. Doctors diagnose it after reviewing a person's medical history and symptoms, which include arthritis lasting at least 6 weeks.","In the disease’s early stages, doctors can prescribe nonsteroidal anti-inflammatory medications, like ibuprofen and naproxen, and steroid hormones to reduce inflammation, pain and fever, and prevent long-term damage to joints. If steroids are used, other drugs are given to guard against possible negative side effects from steroids, such as opportunistic infection, stomach ulcers and weak bones."
"Stroke","One-sided weakness or paralysis.
Aphasia (difficulty with or loss of speaking ability).
Slurred or garbled speaking (dysarthria).
Loss of muscle control on one side of your face.
Sudden loss — either partial or total — of one or more senses (vision, hearing, smell, taste and touch).
Blurred or double vision (diplopia).
Loss of coordination or clumsiness (ataxia).
Dizziness or vertigo.
Nausea and vomiting.
Neck stiffness.
Emotional instability and personality changes.
Confusion or agitation.
Seizures.
Memory loss (amnesia).
Headaches (usually sudden and severe).
Passing out or fainting.
Coma.","Computerized tomography (CT) scan.
Lab blood tests (looking for signs of infections or heart damage, checking clotting ability and blood sugar levels, testing how well kidneys and liver function, etc.).
Electrocardiogram (abbreviated ECG or EKG) to make sure that a heart issue isn’t the source of the problem.
Magnetic resonance imaging (MRI) scans.
Electroencephalogram (EEG), though less common, can rule out seizures or related problems.","Ischemic: With ischemic strokes, the top priority is restoring circulation to affected brain areas. If this happens fast enough, it’s sometimes possible to prevent permanent damage or at least limit a stroke’s severity. Restoring circulation usually involves a certain medication type called thrombolytics, but may also involve a catheterization procedure.
Hemorrhagic: With hemorrhagic strokes, treatment depends on the location and severity of the bleeding. Reducing blood pressure is often the top priority because this will reduce the amount of bleeding and keep it from getting worse. Another treatment option is to improve clotting so the bleeding will stop. Surgery is sometimes necessary to relieve pressure on your brain from accumulated blood."
"Hemorrhagic Stroke","Headaches (experts often call these “thunderclap” headaches because they’re sudden and severe, like an unexpected clap of thunder).
Light sensitivity, where bright lights cause severe headache-like pain (photophobia).
Dizziness or vertigo.
Nausea and vomiting.
Seizures.
Passing out or fainting.
Coma.
Aphasia (difficulty with or loss of speaking ability) or slurred or garbled speaking (dysarthria).
One-sided weakness, paralysis or loss of sense of touch.
One-sided loss of all two-sided senses (vision, hearing and touch).
Neck stiffness.","Computerized tomography (CT) scan.
Lab blood tests (looking for signs of infections or heart damage, checking clotting ability and blood sugar levels, testing how well kidneys and liver function, etc.).
Electrocardiogram (abbreviated ECG or EKG) to make sure a heart issue isn’t the source of the problem.
Magnetic resonance imaging (MRI) scans.","Beverages that contain caffeine, such as coffee, tea, soft drinks, etc.
Foods containing a lot of salt or sodium, which can increase blood pressure.
Foods that are high in saturated fats, such as fried foods, etc.
Alcohol or recreational stimulant drugs (cocaine, amphetamines/methamphetamine, etc.)."
"Hypergastrinemia","Antacid medications for heartburn or GERD.
Chronic atrophic gastritis, inflammation of your stomach lining over a long time.
Colorectal (colon) cancer.
pylori infection.
Kidney failure.
Use of proton pump inhibitors (PPI) for acid reflux, gastritis, indigestion, or peptic ulcer disease.
Vagotomy, surgery to remove part of your vagus nerve. This long nerve runs from your brainstem to your abdomen. It carries signals to your heart and digestive system.","To diagnose hypergastrinemia, healthcare providers need to find out how much gastric acid you’re producing. They will use tests to measure your gastrin levels:","Colorectal cancer, gastric outlet obstruction, kidney disease, MEN-1 and ZE syndrome: Surgery that treats these conditions will also treat hypergastrinemia symptoms.
ACG and H. pylori infection: Antibiotics can help to treat these conditions.
Proton-pump inhibitors: Stopping PPI usually reverses hypergastrinemia in five to seven days.
Retained antrum syndrome: Getting rid of the remaining lower stomach (antral) tissue can lower excess stomach acid."
"Enlarged Spleen","Upper left abdominal pain. It may also radiate to your left shoulder or back.
Palpable spleen. You usually can’t feel your spleen with your hand, unless it’s enlarged.
Loss of appetite or early fullness. Your enlarged spleen might encroach on your stomach below.","Imaging tests. An abdominal ultrasound or CT scan can help confirm an enlarged spleen and may give additional information, such as how severe it is, whether it has a lesion or whether it is encroaching on any other organs. An MRI can trace the blood flow through your spleen.
Blood tests. If your healthcare provider is unsure of the cause, they may investigate with blood tests. They can test for specific diseases, cancers, blood disorders and liver function problems.
Bone marrow analysis. Your provider might take a bone marrow aspiration and/or bone marrow biopsy to test the blood cell content in your bone marrow tissues. This can give them information about how your spleen is functioning and can indicate certain disorders.","In many cases, the spleen will return to normal size as the underlying condition improves. Some conditions, such as transient infections, may go away by themselves. Your provider may treat other conditions with medication, blood treatments or surgery. Some have no cure. In these cases, healthcare providers may treat your enlarged spleen with low-dose radiation therapy to reduce it, or surgery to remove it."
"Nephrotic Syndrome","Large amounts (greater than 3.5 grams) of the protein albumin in your pee (albuminuria).
High fat and cholesterol levels in your blood (hyperlipidemia).
Swelling (edema), usually in your legs, feet or ankles. Swelling may also occur in your hands or face.
Low levels of albumin in your blood (hypoalbuminemia).
Loss of appetite.
Feeling unwell or sick.
Abdominal pain (pain anywhere from your ribs to your pelvis).
Foamy pee.","Pee in the toilet as usual when you first wake up.
Pee in the container the rest of the day until you go to sleep.
Pee in the container one last time when you first wake up the following day.","Angiotensin-converting enzyme (ACE) inhibitors.
Angiotensin receptor blockers (ARBs)."
"Penicillin Allergy","Skin rash or hives (a raised pink areas of skin).
Itchy skin.
Coughing.
Nasal congestion.
Swelling around your face, hands and feet.","A healthcare provider will diagnose a penicillin allergy after a complete medical history, physical exam and testing. Your provider will review your symptoms and they’ll offer immediate treatment if you’re having severe symptoms that could be life-threatening.","Immediately stopping further use of penicillin.
Taking an antihistamine to reduce your allergic reaction symptoms (your provider will guide you on which antihistamine you should take).
Taking a prescribed corticosteroid for severe swelling, inflammation or itching.
Taking an injection of epinephrine from an emergency injector (either ones you carry, those found in first aid kits or those used in the emergency room) to treat severe anaphylaxis."
"Articulation Disorder","Addition: Adding sounds or syllables to words that don’t belong there (for example, “puh-lay” instead of “play”).
Distortion: Changing a sound, which might seem like a lisp (when “s” sounds like “th”).
Omission: Leaving certain sounds out of their speech altogether (for example, never using “sc” in “school or “scratch”).
Substitution: Always substituting one sound for another (for example, using “s” instead of “th” or “w” in place of “r”).","Ask your child to make certain sounds and form specific words.
Chat with your child to assess connected speech during conversation.
Perform standardized diagnostic testing.
Consider your child’s medical history, such as premature birth, previous ear infections and more.
Discuss any family history of speech disorders.
Look at the mouth’s structure for any issues that may be contributing (for example, with their teeth and palate).
Take your child’s accent and dialect into consideration.
Watch the movement of your child’s mouth during speech.","Identify the sounds they can’t make.
Correct the way they create sounds.
Re-learn ways to control the motor parts of speech (for example, moving their tongue, shaping their lips).
Strengthen the muscles involved in speech.
Practice sound formation at home."
"H. Pylori Infection","Dull or burning pain in your stomach (more often a few hours after eating and at night). Your pain may last minutes to hours and may come and go over several days to weeks.
Unplanned weight loss.
Bloating.
Nausea and vomiting (bloody vomit).
Indigestion (dyspepsia).
Burping.
Loss of appetite.
Dark stools (from blood in your stool).","A breath test: In this test, you exhale into a bag before and after drinking a solution. The test measures the amount of carbon dioxide released in your breath before and after drinking the solution. A higher level after drinking the solution means H. pylori are present.
A stool test: This test looks for evidence of H. pylori in a stool sample.
Upper endoscopy: A flexible tube is inserted down the throat into the stomach. A small tissue sample from the stomach or intestine lining is taken for testing for the presence of H. pylori.","Antibiotics: Usually two antibiotics are prescribed. Among the common choices are amoxicillin, clarithromycin (Biaxin®), metronidazole (Flagyl®) and tetracycline.
Proton pump inhibitor: Commonly used proton pump inhibitors include lansoprazole (Prevacid®), omeprazole (Prilosec®), pantoprazole (Protonix®), rabeprazole (Aciphex®) or esomeprazole (Nexium®).
Bismuth subsalicylate: Sometimes this drug (eg, Pepto-Bismol®) is added to the antibiotics plus proton pump inhibitor combinations mentioned above. This drug protects the stomach lining."
